nom,SIREN,type,code_departement,code_region
CC de l'Île-Rousse - Balagne,200073104,CC,2B,94
CC de l'Oisans,243800745,CC,38,84
CC de l'Oise Picarde,200068005,CC,60,32
CC de l'Oriente,200015162,CC,2B,94
CC de l'Orvin et de l'Ardusson,241000488,CC,10,44
CC de l'Ouest Guyanais,249730037,CC,973,03
CC de l'Ouest Vosgien,200068559,CC,"52,88",44
CC de l'Oust à Brocéliande,200066785,CC,56,53
CC de l'Outre-Forêt,200040178,CC,67,44
CC de la Baie du Cotentin,200042729,CC,50,28
CC de la Basse-Zorn,246700843,CC,67,44
CC de la Beauce Loirétaine,200035764,CC,45,24
CC de la Brie Champenoise,245100888,CC,51,44
CC de la Castagniccia-Casinca,200073252,CC,2B,94
CC de la Champagne Conlinoise et du Pays de Sillé,200072718,CC,72,52
CC de la Champagne Picarde,240200576,CC,02,32
CC de la Châtaigneraie Cantalienne,200066678,CC,15,84
CC de la Châtre et Sainte-Sévère,243600350,CC,36,24
"CC de la Cléry,du Betz et de l'Ouanne",200067668,CC,"45,89","24,27"
CC de la Costa Verde,200034205,CC,2B,94
CC de la Côte d'Albâtre,200069839,CC,76,28
CC de la Côtière à Montluel,240100610,CC,01,84
CC de la Dombes,200069193,CC,01,84
CC de la Forêt,244500484,CC,45,24
CC de la Gascogne Toulousaine,200023620,CC,"31,32",76
CC de la Grande Vallée de la Marne,245100615,CC,51,44
CC de la Haute Ariège,200066363,CC,09,76
CC de la Haute Comté,200041721,CC,70,27
CC de la Haute Vallée de Chevreuse,200033173,CC,78,11
CC de la Haute-Bigorre,246500482,CC,65,76
CC de la Haute-Saintonge,200041523,CC,17,75
CC de la Haute-Somme,200037059,CC,80,32
CC de la Lomagne Gersoise,243200391,CC,32,76
CC de la Lomagne Tarn-et-Garonnaise,248200065,CC,82,76
CC de la Marche Berrichonne,200007052,CC,36,24
CC de la Matheysine,200040657,CC,38,84
CC de la Moivre à la Coole,200043438,CC,51,44
CC de la Montagne d'Ardèche,200072007,CC,07,84
CC de la Montagne Noire,200042463,CC,11,76
CC de la Mossig et du Vignoble,200068864,CC,67,44
CC de la Muse et des Raspes du Tarn,241200914,CC,12,76
CC de la Picardie Verte,246000848,CC,60,32
CC de la Pieve de l'Ornano et du Taravo,200038958,CC,2A,94
CC de la Plaine d'Estrées,246000897,CC,60,32
CC de la Plaine de l'Ain,240100883,CC,01,84
CC de la Plaine Dijonnaise,200000925,CC,21,27
CC de la Plaine du Nord Loiret,244500542,CC,45,24
CC de la Plaine du Rhin,200041283,CC,67,44
CC de la Plaine Jurassienne,243901089,CC,39,27
CC de la Porte des Vosges Méridionales,200068377,CC,88,44
CC de la Région d'Audruicq,246200844,CC,62,32
CC de la Région de Bar-sur-Aube,241000405,CC,10,44
CC de la Région de Blain,244400453,CC,44,52
CC de la Région de Guebwiller,246800569,CC,68,44
CC de la Région de Levroux,243600293,CC,36,24
CC de la Région de Molsheim-Mutzig,246701064,CC,67,44
CC de la Région de Rambervillers,200005957,CC,88,44
CC de la Région de Suippes,200042620,CC,51,44
CC de la Save au Touch,243100781,CC,31,76
CC de la Sologne des Étangs,244100780,CC,41,24
CC de la Sologne des Rivières,244100806,CC,41,24
CC de la Station des Rousses-Haut Jura,243900354,CC,39,27
CC de la Tenarèze,243200417,CC,32,76
CC de la Terre des Deux Caps,246200380,CC,62,32
CC de la Thiérache du Centre,240200444,CC,02,32
CC de la Vallée d'Ossau,246400337,CC,64,75
CC de la Vallée de Chamonix-Mont-Blanc,200023372,CC,74,84
CC de la Vallée de Kaysersberg,246800551,CC,68,44
CC de la Vallée de l'Homme,200041168,CC,24,75
CC de la Vallée de l'Oise et des Trois Forêts,249500455,CC,95,11
CC de la Vallée de la Bruche,246700306,CC,67,44
CC de la Vallée de la Doller et du Soultzbach,246800676,CC,68,44
CC de la Vallée de la Haute-Sarthe,200035103,CC,61,28
CC de la Vallée de Munster,246800585,CC,68,44
CC de la Vallée de Saint-Amarin,246800205,CC,68,44
CC de la Vallée de Villé,246700777,CC,67,44
CC de la Vallée du Gapeau,248300410,CC,83,93
CC de la Vallée du Garon (CCVG),246900757,CC,69,84
CC de la Vallée du Lot et du Vignoble,244600433,CC,46,76
CC de la Vallée Verte,247400047,CC,74,84
CC de la Vanne et du Pays d'Othe,248900664,CC,89,27
CC de la Veyle,200070555,CC,01,84
CC de Lacq-Orthez,200039204,CC,64,75
CC de Lévézou Pareloup,241200765,CC,12,76
CC de Londinières,247600604,CC,76,28
CC de Marana-Golo,200036499,CC,2B,94
CC de Marcigny,247100639,CC,71,27
CC de Marie-Galante,249710047,CC,971,01
CC de Millau Grands Causses,241200567,CC,"12,48",76
CC de Mimizan,244000543,CC,40,75
CC de Mirecourt Dompaire,200068369,CC,88,44
CC de Miribel et du Plateau,240100800,CC,01,84
CC de Montaigne Montravel et Gurson,200034197,CC,24,75
CC de Montbenoît,242500320,CC,25,27
CC de Montesquieu,243301264,CC,33,75
CC de Noblat,248719361,CC,87,75
CC de Nozay,244400537,CC,44,52
CC de Parthenay-Gâtine,200041333,CC,79,75
CC de Petite Camargue,243000593,CC,30,76
CC de Petite-Terre,200050532,CC,976,06
CC de Pont-Audemer / Val de Risle,200065787,CC,27,28
CC de Portes Sud Périgord,200040889,CC,24,75
CC de Pouilly-en-Auxois/Bligny-sur-Ouche,200071207,CC,21,27
CC de Puisaye-Forterre,200067130,CC,"58,89",27
CC de Sablé-sur-Sarthe,247200090,CC,"53,72",52
CC de Saint-Méen Montauban,200038990,CC,35,53
CC de Saulieu,242101442,CC,21,27
CC de Seille et Grand Couronné,200070589,CC,54,44
CC de Sélestat,246700967,CC,67,44
CC de Sézanne-Sud Ouest Marnais,200066835,CC,51,44
CC de Thann-Cernay,200036465,CC,68,44
CC de Val'Aïgo,243100773,CC,31,76
CC de Vendeuvre-Soulaines,200066892,CC,10,44
CC de Ventadour - Egletons - Monédières,241900133,CC,19,75
CC de Vezouze en Piémont,200069433,CC,54,44
CC de Vie et Boulogne,200072882,CC,85,52
CC de Villedieu Intercom,200043354,CC,50,28
"CC de Vitry,Champagne et Der",200034718,CC,51,44
CC de Yenne,247300262,CC,73,84
CC Decazeville Communauté,200067064,CC,12,76
CC des 1000 étangs,247000854,CC,70,27
CC des 4B Sud Charente,200029734,CC,16,75
"CC des Albères,de la Côte Vermeille et de l'Illibéris",200043602,CC,66,76
CC des Aspres,246600449,CC,66,76
CC des Ballons des Hautes-Vosges,200033868,CC,88,44
CC des Baronnies en Drôme Provençale,200068229,CC,26,84
CC des Bastides Dordogne-Périgord,200034833,CC,24,75
CC des Bastides en Haut-Agenais Périgord,200036523,CC,47,75
CC des Campagnes de l'Artois,200069482,CC,62,32
CC des Causses à l'Aubrac,200068484,CC,12,76
CC des Cévennes au Mont Lozère,200069136,CC,48,76
CC des Cévennes Gangeoises et Suménoises,243400736,CC,"30,34",76
CC des Coëvrons,200033298,CC,53,52
CC des Collines du Nord Dauphiné,243801255,CC,38,84
CC des Collines du Perche,244100293,CC,41,24
CC des Collines du Perche Normand,200071504,CC,61,28
CC des Combes,247000367,CC,70,27
CC des Coteaux Arrats Gimone,200042372,CC,32,76
CC des Coteaux Bellevue,243100815,CC,31,76
CC des Coteaux Bordelais,243301355,CC,33,75
CC des Coteaux du Girou,243100732,CC,31,76
CC des Coteaux du Val-d'Arros,200070803,CC,65,76
CC des Coteaux et Landes de Gascogne,244701355,CC,47,75
CC des Crêtes Préardennaises,240800862,CC,08,44
CC des Deux Morin,200072544,CC,77,11
CC des Deux Rives,248200016,CC,"32,47,82","75,76"
CC des Deux Vallées,246000772,CC,60,32
CC des Deux Vallées,249100157,CC,91,11
CC des Deux Vallées Vertes,200068294,CC,25,27
CC des Forêts du Perche,200069912,CC,28,24
CC des Gorges de l'Ardèche,200039808,CC,07,84
CC des Grands Lacs,244000873,CC,40,75
CC des Hautes Terres de l'Aubrac,200069144,CC,48,76
CC des Hautes-Vosges,200071157,CC,88,44
CC des Hauts de Flandre,200040954,CC,59,32
CC des Hauts du Perche,200068856,CC,61,28
CC des Hauts du Val de Saône,200036150,CC,70,27
CC des Hauts Tolosans,200071314,CC,31,76
CC des Lacs de Champagne,200040137,CC,10,44
CC des Lacs et Montagnes du Haut-Doubs,200069565,CC,25,27
CC des Landes d'Armagnac,200035541,CC,40,75
CC des Lisières de l'Oise,246000749,CC,60,32
CC des Loges,244500427,CC,45,24
CC des Luys en Béarn,200067239,CC,64,75
CC des Montagnes du Giffre,200034098,CC,74,84
CC des Monts d'Alban et du Villefranchois,200034031,CC,81,76
CC des Monts de Gy,247000698,CC,70,27
CC des Monts de Lacaune et de la Montagne du Haut Languedoc,200066553,CC,"34,81",76
CC des Monts du Lyonnais,200066587,CC,"42,69",84
CC des Monts du Pilat,244200622,CC,42,84
CC des Pays d'Oise et d'Halatte,246000921,CC,60,32
CC des Pays de Cayres et de Pradelles,244301123,CC,43,84
CC des Pays de L'Aigle,200068468,CC,61,28
CC des Pays du Sel et du Vermois,245400189,CC,54,44
CC des Paysages de la Champagne,200066850,CC,51,44
CC des Portes d'Ariège Pyrénées,200066231,CC,09,76
CC des Portes de l'Entre-deux-Mers,243301439,CC,33,75
CC des Portes de la Thiérache,240200634,CC,02,32
CC des Portes de Meuse,200066108,CC,55,44
CC des Portes de Romilly-sur-Seine,200000545,CC,10,44
CC des Portes de Rosheim,246700744,CC,67,44
CC des Portes de Sologne,200005932,CC,45,24
CC des Portes de Vassivière,248719353,CC,87,75
CC des Portes du Haut-Doubs,242504181,CC,25,27
CC des Portes du Luxembourg,240800847,CC,08,44
CC des Portes Euréliennes d'Île-de-France,200069953,CC,28,24
CC des Quatre Rivières,247000623,CC,70,27
CC des Quatre Rivières,247400666,CC,74,84
CC des Quatre Rivières,200069730,CC,"27,76",28
CC des Quatre Vallées,244500419,CC,45,24
CC des Rives du Haut-Allier,200073393,CC,43,84
CC des Sablons,246000582,CC,60,32
CC des Savanes,200027548,CC,973,03
CC des Savoir-Faire,200070332,CC,"52,70","27,44"
CC des Sept Vallées,200044030,CC,62,32
CC des Sorgues du Comtat,248400293,CC,84,93
CC des Sources de l'Orne,200035111,CC,61,28
CC des Sources du Lac d'Annecy,247400773,CC,74,84
CC des Sucs,244301016,CC,43,84
CC des Terres d'Apcher-Margeride-Aubrac,200069185,CC,48,76
CC des Terres d'Auxois,200071017,CC,21,27
CC des Terres du Lauragais,200071298,CC,31,76
CC des Terres du Val de Loire,200070183,CC,"41,45",24
CC des Trois Forêts,245200597,CC,52,44
CC des Trois Rivières,240200600,CC,02,32
CC des Vallées d'Aigueblanche,247300015,CC,73,84
CC des Vallées d'Auge et du Merlerault,200069458,CC,61,28
CC des Vallées de la Braye et de l'Anille,200072692,CC,72,52
CC des Vallées de la Tille et de l'Ignon,242100154,CC,21,27
CC des Vallées de Thônes,247400617,CC,74,84
CC des Vallées du Clain,200043628,CC,86,75
CC des Vallées du Haut-Anjou,200071868,CC,49,52
CC des Vallons du Lyonnais (CCVL),246900724,CC,69,84
CC des Vals d'Aix et Isable,244200614,CC,42,84
CC des Vals de Saintonge Communauté,200041689,CC,17,75
CC des Villes Sœurs,247600588,CC,"76,80","28,32"
CC des Vosges côté Sud Ouest,200068773,CC,88,44
CC des Vosges du Sud,200069060,CC,90,27
CC Dieulefit-Bourdeaux,242600492,CC,26,84
CC Dombes Saône Vallée,200042497,CC,01,84
CC Dômes Sancy Artense,200069169,CC,63,84
CC Domfront Tinchebray Interco,200071520,CC,61,28
CC Douarnenez Communauté,242900645,CC,29,53
CC Drôme Sud Provence,200042901,CC,26,84
CC Dronne et Belle,200041572,CC,24,75
CC du Barséquanais en Champagne,200069003,CC,10,44
CC du Bas Armagnac,243200409,CC,32,76
CC du Bassin Auterivain Haut-Garonnais,200068807,CC,31,76
CC du Bassin d'Aubenas,200073245,CC,07,84
CC du Bassin de Joinville en Champagne,200044253,CC,52,44
CC du Bassin de Marennes,241700699,CC,17,75
CC du Bassin de Pompey,245400601,CC,54,44
CC du Bassin de Pont-à-Mousson,200041515,CC,54,44
CC du Bazadais,200043982,CC,33,75
CC du Béarn des Gaves,200067288,CC,64,75
CC du Bocage Bourbonnais,200071496,CC,03,84
CC du Bocage Mayennais,245300389,CC,53,52
CC du Bonnevalais,242852465,CC,28,24
CC du Briançonnais,240500439,CC,05,93
CC du Canton d'Erstein,200067924,CC,67,44
CC du Canton d'Oulchy-le-Château,240200519,CC,02,32
CC du Canton de Charly-sur-Marne,240200584,CC,02,32
CC du Canton de la Chambre,247300361,CC,73,84
CC du Canton de Semur-en-Brionnais,247103864,CC,71,27
CC du Cap Corse,200042943,CC,2B,94
CC du Castelrenaudais,243700499,CC,37,24
CC du Causse de Labastide-Murat,244600573,CC,46,76
CC du Centre Corse,242020071,CC,2B,94
CC du Centre du Haut-Rhin,246800445,CC,68,44
CC du Centre-Ouest,200059871,CC,976,06
CC du Chaourçois et du Val d'Armance,200071041,CC,10,44
CC du Châtillonnais en Berry,200035848,CC,36,24
CC du Chemin des Dames,240200592,CC,02,32
CC du Civraisien en Poitou,200070035,CC,86,75
CC du Clermontais,243400355,CC,34,76
CC du Clermontois,246000376,CC,60,32
CC du Clunisois,200040293,CC,71,27
CC du Confluent et des Coteaux de Prayssas,200068922,CC,47,75
CC du Cordais et du Causse (4 C),200034064,CC,81,76
CC du Créonnais,243301215,CC,33,75
CC du Crestois et de Pays de Saillans Cœur de Drôme,200040509,CC,26,84
CC du Diois,242600534,CC,26,84
CC du District Urbain de Faulquemont (DUF),245700133,CC,57,44
CC du Doubs Baumois,242504447,CC,25,27
CC du Fronsadais,243301397,CC,33,75
CC du Frontonnais,200034957,CC,31,76
CC du Gâtinais en Bourgogne,248900748,CC,89,27
CC du Genevois,247400690,CC,74,84
CC du Gévaudan,244800470,CC,48,76
CC du Golfe de Saint-Tropez,200036077,CC,83,93
CC du Grand Armagnac,243200458,CC,32,76
CC du Grand Autunois Morvan,200070530,CC,71,27
CC du Grand Chambord,244100798,CC,41,24
CC du Grand Châteaudun,200069961,CC,28,24
CC du Grand Cubzaguais,243301223,CC,33,75
CC du Grand Langres,200072999,CC,52,44
CC du Grand Pic Saint-Loup,200022986,CC,34,76
CC du Grand Pontarlier,242500338,CC,25,27
CC du Grand Roye,200070977,CC,80,32
CC du Grand Saint-Émilionnais,200035533,CC,33,75
CC du Guillestrois et du Queyras,200067452,CC,05,93
CC du Haut Pays Bigouden,242900710,CC,29,53
CC du Haut Pays du Montreuillois,200069235,CC,62,32
CC du Haut Val d'Oise,249500489,CC,95,11
CC du Haut Vallespir,246600548,CC,66,76
CC du Haut-Allier,200006930,CC,48,76
CC du Haut-Béarn,200067262,CC,64,75
CC du Haut-Chablais,247400682,CC,74,84
CC du Haut-Jura - ARCADE,243900479,CC,39,27
CC du Haut-Lignon,244301107,CC,43,84
CC du Haut-Poitou,200069763,CC,86,75
CC du Jovinien,248900938,CC,89,27
CC du Kochersberg,200034635,CC,67,44
CC du Kreiz-Breizh (CCKB),242200715,CC,22,53
CC du Lac d'Aiguebelette (CCLA),247300668,CC,73,84
CC du Lautrécois et du Pays d'Agout,200034056,CC,81,76
CC du Liancourtois,246000129,CC,60,32
CC du Limouxin,200071926,CC,11,76
CC du Massif du Sancy,246300966,CC,"15,63",84
CC du Massif du Vercors,243801024,CC,38,84
CC du Minervois au Caroux,200066348,CC,34,76
CC du Mont des Avaloirs,200042182,CC,53,52
CC du Montbardois,242101491,CC,21,27
CC du Nivernais Bourbonnais,245804497,CC,58,27
CC du Nogentais,200006716,CC,10,44
CC du Nord Est Béarn,200067296,CC,64,75
CC du Pays Arnay Liernais,200071173,CC,21,27
CC du Pays Beaume-Drobie,240700302,CC,07,84
CC du Pays Bellegardien (CCPB),240100891,CC,01,84
CC du Pays Bigouden Sud,242900702,CC,29,53
CC du Pays Châtillonnais,242101434,CC,21,27
CC du Pays d'Alésia et de la Seine,242101459,CC,21,27
CC du Pays d'Ancenis,244400552,CC,"44,49",52
CC du Pays d'Étain,245501242,CC,55,44
CC du Pays d'Héricourt,247000722,CC,"25,70",27
CC du Pays d'Huriel,240300657,CC,03,84
CC du Pays d'Iroise,242900074,CC,29,53
CC du Pays d'Issoudun,243600236,CC,"18,36",24
CC du Pays d'Olmes,240900464,CC,09,76
CC du Pays d'Othe,241000447,CC,10,44
CC du Pays d'Urfé,244200820,CC,42,84
CC du Pays d'Uzerche,241927243,CC,19,75
CC du Pays de Barr,200034270,CC,67,44
CC du Pays de Bitche,200069441,CC,57,44
CC du Pays de Bray,246000913,CC,60,32
CC du Pays de Château-Gontier,245300447,CC,53,52
CC du Pays de Colombey et du Sud Toulois,245400510,CC,"54,88",44
CC du Pays de Conches,242700276,CC,27,28
CC du Pays de Craon,200048551,CC,53,52
CC du Pays de Cruseilles,247400112,CC,74,84
CC du Pays de Dol et de la Baie du Mont Saint-Michel,200070670,CC,35,53
CC du Pays de Duras,244700449,CC,47,75
CC du Pays de Falaise,241400514,CC,14,28
CC du Pays de Fayence,200004802,CC,83,93
CC du Pays de Fénelon,200040830,CC,24,75
CC du Pays de Honfleur-Beuzeville,200066827,CC,"14,27",28
CC du Pays de l'Arbresle (CCPA),246900625,CC,69,84
CC du Pays de l'Huisne Sarthoise,247200686,CC,72,52
CC du Pays de l'Ourcq,247700065,CC,77,11
CC du Pays de l'Ozon,246900765,CC,69,84
CC du Pays de la Châtaigneraie,248500415,CC,85,52
CC du Pays de la Serre,240200469,CC,02,32
CC du Pays de la Zorn,246700959,CC,67,44
CC du Pays de Lalbenque-Limogne,244600532,CC,46,76
CC du Pays de Lamastre,200016905,CC,07,84
CC du Pays de Landerneau-Daoulas,242900801,CC,29,53
CC du Pays de Landivisiau,242900751,CC,29,53
CC du Pays de Lapalisse,240300491,CC,03,84
CC du Pays de Lauzun,244700464,CC,47,75
CC du Pays de Limours (CCPL),249100074,CC,91,11
CC du Pays de Lubersac-Pompadour,200066603,CC,19,75
CC du Pays de Lumbres,246201016,CC,62,32
CC du Pays de Lunel,243400520,CC,34,76
CC du Pays de Lure,247000664,CC,70,27
CC du Pays de Luxeuil,247000755,CC,70,27
CC du Pays de Maîche,200023075,CC,25,27
CC du Pays de Mauriac,241500271,CC,15,84
CC du Pays de Meslay-Grez,245300223,CC,53,52
CC du Pays de Mirepoix,200044469,CC,09,76
CC du Pays de Montbozon et du Chanois,200041853,CC,70,27
CC du Pays de Montfaucon,244300307,CC,43,84
CC du Pays de Montmédy,245501259,CC,55,44
CC du Pays de Mormal,200043321,CC,59,32
CC du Pays de Mortagne,248500662,CC,85,52
CC du Pays de Mortagne-au-Perche,200036069,CC,61,28
CC du Pays de Niederbronn-les-Bains,246701098,CC,67,44
CC du Pays de Phalsbourg,245700950,CC,57,44
CC du Pays de Pontchâteau Saint-Gildas-des-Bois,200000438,CC,44,52
CC du Pays de Pouzauges,248500464,CC,85,52
CC du Pays de Revigny-sur-Ornain,245501184,CC,55,44
CC du Pays de Ribeauvillé,246800577,CC,68,44
"CC du Pays de Rouffach,Vignobles et Châteaux",246800494,CC,68,44
CC du Pays de Saint-Aulaye,242400935,CC,24,75
CC du Pays de Saint-Éloy,200072080,CC,63,84
CC du Pays de Saint-Fulgent - Les Essarts,200071918,CC,85,52
CC du Pays de Saint-Gilles-Croix-de-Vie,200023778,CC,85,52
CC du Pays de Saint-Yrieix,248700189,CC,"19,87",75
CC du Pays de Sainte-Odile,246701080,CC,67,44
CC du Pays de Salars,241200658,CC,12,76
CC du Pays de Salers,241501139,CC,15,84
CC du Pays de Sancey-Belleherbe,242504371,CC,25,27
CC du Pays de Saverne,200068112,CC,67,44
CC du Pays de Serres en Quercy,200040418,CC,82,76
CC du Pays de Sommières,243000296,CC,30,76
CC du Pays de Stenay et du Val Dunois,200066132,CC,55,44
CC du Pays de Tarascon,240900431,CC,09,76
CC du Pays de Trie et du Magnoac,200070795,CC,65,76
CC du Pays de Tronçais,240300558,CC,03,84
CC du Pays de Valois,246000871,CC,60,32
CC du Pays de Villeneuve en Armagnac Landais,244000774,CC,40,75
CC du Pays de Villersexel,247000714,CC,"25,70",27
CC du Pays de Wissembourg,246700926,CC,67,44
CC du Pays des Abers,242900553,CC,29,53
CC du Pays des Achards,248500530,CC,85,52
CC du Pays des Ecrins,240500462,CC,05,93
CC du Pays des Herbiers,248500621,CC,85,52
CC du Pays des Paillons,240600593,CC,06,93
CC du Pays des Sorgues et des Monts de Vaucluse,248400319,CC,84,93
CC du Pays des Sources,246000855,CC,60,32
CC du Pays du Coquelicot,248000747,CC,80,32
CC du Pays du Neubourg,242700607,CC,27,28
CC du Pays du Saintois,200035772,CC,54,44
CC du Pays du Sanon,245400759,CC,54,44
CC du Pays du Vermandois,240200493,CC,02,32
CC du Pays Dunois,242320109,CC,23,75
CC du Pays entre Loire et Rhône,244200630,CC,42,84
CC du Pays Fertois et du Bocage Carrougien,200071652,CC,61,28
CC du Pays Fléchois,247200348,CC,72,52
CC du Pays Fouesnantais,242900660,CC,29,53
CC du Pays Foyen,243301371,CC,"24,33",75
CC du Pays Gentiane,241500255,CC,15,84
CC du Pays Grenadois,244000824,CC,40,75
CC du Pays Haut Val d'Alzette,245701404,CC,"54,57",44
CC du Pays Houdanais (C.C.P.H.),247800550,CC,"28,78","11,24"
